date,N2,CH4,CO2
1552691500000,1899.18,2037000.0,764450.0
1552691621000,1915.6,2034950.0,763362.0
1552691742000,1895.7,2021420.0,763289.0
1552691866000,1900.78,2040110.0,763182.0
1552691987000,1904.22,2033330.0,763603.0
1552692108000,1892.92,2030560.0,763642.0
1552692232000,1904.72,2040010.0,763710.0
1552692356000,1900.8,2033870.0,763499.0
1552692477000,1906.58,2042520.0,763496.0
1552692597000,1905.14,2038950.0,763023.0
1552692718000,1888.72,2036100.0,764242.0
1552692839000,1894.74,2033820.0,763580.0
1552692960000,1904.88,2035980.0,763401.0
1552693082000,1908.32,2034790.0,763153.0
1552693203000,1896.12,2033880.0,763801.0
1552693324000,1894.18,2042630.0,763280.0
1552693445000,1905.78,2048750.0,763477.0
1552693569000,1887.58,2038350.0,763184.0
1552693690000,1902.48,2035390.0,763921.0
1552693811000,1906.7,2040630.0,763382.0
1552693936000,1905.68,2040690.0,763723.0
1552694057000,1894.16,2037390.0,763412.0
1552694178000,1892.22,2033220.0,763087.0
1552694300000,1893.36,2040190.0,762993.0
1552694421000,1900.94,2035520.0,763547.0
1552694542000,1909.42,2033570.0,764514.0
1552694663000,1880.64,2030040.0,763051.0
1552694784000,1881.58,2018810.0,763830.0
1552694907000,1904.1,2037230.0,762468.0
1552695029000,1900.54,1728820.0,763235.0
1552695150000,1883.94,2026110.0,763944.0
1552695272000,1890.42,1725610.0,763159.0
1552695393000,1903.74,2030350.0,763163.0
1552695515000,1903.18,2034040.0,762876.0
1552695636000,1891.48,2023480.0,763306.0
1552695757000,1894.92,2040570.0,763577.0
1552695879000,1868.28,1999820.0,763340.0
1552696001000,1911.32,2044630.0,763556.0
1552696125000,1904.36,2044600.0,763469.0
1552696246000,1907.5,2041430.0,762759.0
1552696367000,1900.58,2034520.0,763920.0
1552696489000,1913.92,2035600.0,763522.0
1552696610000,1911.2,2044150.0,763374.0
1552696732000,1892.36,2049900.0,763161.0
1552696856000,1916.8,2041790.0,763176.0
1552696977000,1907.42,2040700.0,763149.0
1552697098000,1891.16,2029660.0,763191.0
1552697220000,1912.82,2037590.0,763501.0
1552697342000,1913.62,2044140.0,763191.0
1552697463000,1905.94,2046250.0,763722.0
1552697584000,1905.54,2037360.0,763898.0
1552697705000,1909.88,2050260.0,763212.0
1552697827000,1912.58,2042310.0,764188.0
1552697947000,1894.82,2035170.0,763094.0
1552698070000,1905.72,2046080.0,763058.0
1552698191000,1908.24,2044540.0,763407.0
1552698315000,1896.18,2048580.0,763523.0
1552698439000,1902.36,2047140.0,763997.0
1552698562000,1907.08,1740370.0,763905.0
1552698683000,1905.36,2050380.0,763185.0
1552698807000,1919.9,2049380.0,763520.0
1552698929000,1909.7,2048100.0,762988.0
1552699050000,1894.16,2037980.0,763292.0
1552699171000,1910.14,2039610.0,763750.0
1552699293000,1902.02,2043960.0,763183.0
1552699417000,1920.66,2048950.0,764237.0
1552699539000,1894.6,2045170.0,763572.0
1552699660000,1886.08,2036050.0,763337.0
1552699781000,1910.44,2048670.0,763936.0
1552699902000,1914.06,2050080.0,763489.0
1552700025000,1907.46,2054770.0,763181.0
1552700146000,1916.72,2047020.0,763109.0
1552700267000,1920.96,2054890.0,763005.0
1552700391000,1907.36,2048290.0,763098.0
1552700513000,1911.64,2051420.0,764071.0
1552700634000,1906.8,2050480.0,763420.0
1552700756000,1920.12,2049520.0,762628.0
1552700878000,1904.72,2048560.0,763815.0
1552701001000,1907.94,2050370.0,763203.0
1552701123000,1906.38,2050150.0,763535.0
1552701245000,1909.18,2035840.0,763952.0
1552701364000,1907.7,2041980.0,763177.0
1552701485000,1919.08,2030940.0,763677.0
1552701607000,1918.14,2045280.0,762598.0
